date,amm_busheling_midwest,hr_coil,alluminum,iron_ore,turkish_scrap,nue
4/9/06,345,639,1563,81,443,39
4/10/06,482,1074,2485,147,509,71
4/11/06,355,1025,2650,150,345,67
4/12/06,212,896,3087,106,361,62
4/13/06,368,520,1260,165,444,42
4/14/06,183,503,1898,148,219,51
4/15/06,383,1021,2758,37,382,33
4/16/06,305,756,2491,185,245,51
4/17/06,338,745,1458,182,379,39
4/18/06,187,749,2171,71,500,71
4/19/06,304,1023,2896,63,175,40
4/20/06,337,751,2455,122,170,64
4/21/06,390,1030,2898,153,402,65
4/22/06,480,924,1776,144,185,72
4/23/06,424,1055,2200,178,263,63
4/24/06,457,503,1459,155,175,46
4/25/06,224,1060,3118,93,440,27
4/26/06,188,389,2719,179,445,44
4/27/06,471,407,1554,139,227,66
4/28/06,234,730,3045,164,361,26
4/29/06,170,753,2664,60,428,30
4/30/06,259,924,3003,55,422,44
5/1/06,494,1058,2395,119,285,67
5/2/06,277,862,1338,118,429,51
5/3/06,180,1024,1340,112,357,33
5/4/06,481,601,2501,166,494,33
5/5/06,433,847,1504,82,245,28
5/6/06,440,558,3283,98,172,75
5/7/06,353,828,1428,174,506,64
5/8/06,427,1003,2122,74,448,28
5/9/06,192,479,2977,79,348,70
5/10/06,377,953,2687,55,277,45
5/11/06,467,1041,3189,59,256,40
5/12/06,316,559,2696,109,338,42
5/13/06,461,375,1677,167,465,27
5/14/06,506,1028,2361,107,498,78
5/15/06,231,549,2869,180,454,31
5/16/06,420,730,2913,177,508,41
5/17/06,416,1022,1416,102,180,70
5/18/06,248,536,1485,72,323,55
5/19/06,388,489,1557,134,322,52
5/20/06,376,723,2657,164,338,41
5/21/06,409,810,1786,183,223,50
5/22/06,406,450,3131,149,472,38
5/23/06,476,1072,1968,79,335,56
5/24/06,472,498,1574,84,399,48
5/25/06,283,949,1366,185,341,75
5/26/06,361,458,3007,46,360,70
5/27/06,323,475,2010,168,377,64
5/28/06,216,651,2467,160,269,65
5/29/06,448,960,1693,128,308,67
5/30/06,355,533,1483,152,338,73
5/31/06,455,711,2037,148,472,34
6/1/06,484,958,1653,43,274,61
6/2/06,453,934,3187,48,230,44
6/3/06,304,516,2959,155,264,59
6/4/06,218,460,1308,158,427,80
6/5/06,412,904,2942,42,439,54
6/6/06,413,448,2003,60,386,38
6/7/06,335,542,2721,177,315,68
6/8/06,200,906,2941,71,226,45
6/9/06,486,489,3267,55,385,76
6/10/06,275,954,3099,66,396,63
6/11/06,347,963,1349,78,236,73
6/12/06,317,614,3156,48,277,81
6/13/06,355,407,2997,44,490,30
6/14/06,256,696,2865,141,360,40
6/15/06,392,1049,1522,153,177,35
6/16/06,190,920,1601,111,275,36
6/17/06,228,362,1602,167,218,32
6/18/06,401,354,1704,63,461,28
6/19/06,219,783,2938,54,431,27
6/20/06,450,667,3061,184,346,72
6/21/06,282,1074,2637,44,309,65
6/22/06,456,857,1773,44,459,31
6/23/06,176,552,2480,100,483,72
6/24/06,191,986,1734,44,236,58
6/25/06,355,845,1990,111,240,44
6/26/06,373,607,2400,179,440,60
6/27/06,325,990,2862,164,400,56
6/28/06,408,821,2612,45,225,62
6/29/06,507,669,2854,80,279,28
6/30/06,410,913,2994,184,429,37
7/1/06,304,859,2921,145,510,41
7/2/06,171,933,1517,75,504,44
7/3/06,419,924,1737,163,331,60
7/4/06,319,668,1924,102,205,69
7/5/06,463,780,1532,128,245,44
7/6/06,252,567,2884,40,352,60
7/7/06,374,598,2726,64,400,38
7/8/06,473,844,1917,93,172,79
7/9/06,471,365,1745,112,308,74
7/10/06,336,898,3096,77,390,60
7/11/06,237,770,1630,138,184,56
7/12/06,172,1030,1412,39,508,44
7/13/06,503,940,2914,185,417,57
7/14/06,236,652,2251,151,455,81
7/15/06,226,735,1858,64,232,47
7/16/06,508,947,1953,176,446,57
7/17/06,432,407,2063,170,309,45
7/18/06,362,413,1683,179,400,78
7/19/06,479,861,2709,111,425,34
7/20/06,194,453,2987,70,366,49
7/21/06,405,707,2372,157,295,32
7/22/06,502,876,1507,77,309,44
7/23/06,442,748,2326,169,454,30
7/24/06,433,620,2532,41,255,58
7/25/06,258,1015,1749,155,344,68
7/26/06,281,787,2817,173,193,29
7/27/06,482,780,2511,161,357,74
7/28/06,165,660,2553,54,278,57
7/29/06,456,646,1654,189,383,48
7/30/06,289,1003,3215,163,183,35
7/31/06,372,787,1960,106,177,59
8/1/06,464,643,1317,112,485,75
8/2/06,212,444,1938,48,385,31
8/3/06,164,869,2364,63,446,54
8/4/06,393,893,1880,38,496,82
8/5/06,299,904,2520,168,215,59
8/6/06,345,719,3164,97,170,74
8/7/06,242,376,2938,106,350,28
8/8/06,347,427,2843,73,217,60
8/9/06,274,956,3055,91,293,37
8/10/06,242,922,1979,116,404,76
8/11/06,199,364,1535,119,391,65
8/12/06,391,480,1336,187,199,45
8/13/06,391,458,2914,168,391,80
8/14/06,456,820,2292,186,412,82
8/15/06,291,845,3151,86,221,78
8/16/06,251,738,3186,70,209,82
8/17/06,308,670,1354,81,448,49
8/18/06,250,757,2570,66,254,30
8/19/06,238,563,2180,157,220,76
8/20/06,227,801,1551,80,499,35
8/21/06,452,844,1388,178,173,68
8/22/06,485,401,3249,38,486,61
8/23/06,251,523,2671,154,330,61
8/24/06,412,995,2864,93,378,56
8/25/06,365,593,3070,72,442,56
8/26/06,369,835,3170,52,227,79
8/27/06,366,722,3262,152,208,75
8/28/06,340,1020,2646,182,459,81
8/29/06,305,753,1429,38,317,78
8/30/06,300,843,2079,90,236,73
8/31/06,410,1003,2164,167,351,45
9/1/06,427,450,2823,62,385,28
9/2/06,187,448,2294,88,485,67
9/3/06,437,1017,2710,49,242,62
9/4/06,302,995,2448,129,385,29
9/5/06,420,1074,2474,172,248,55
9/6/06,501,1042,2552,159,353,53
9/7/06,437,1037,3209,72,248,44
9/8/06,471,850,1533,105,339,44
9/9/06,435,779,2622,143,381,47
9/10/06,321,629,2481,122,202,56
9/11/06,399,738,2499,56,254,27
9/12/06,257,610,3119,56,303,71
9/13/06,342,446,2587,181,395,39
9/14/06,427,416,1866,187,296,41
9/15/06,203,570,2501,102,237,40
9/16/06,201,415,1334,104,370,26
9/17/06,195,400,1362,44,273,53
9/18/06,286,680,3211,181,381,66
9/19/06,217,1060,2419,116,458,50
9/20/06,236,409,2273,131,340,80
9/21/06,363,506,2713,114,224,44
9/22/06,367,655,2971,153,450,60
9/23/06,457,575,1742,124,481,51
9/24/06,399,698,2302,63,356,42
9/25/06,231,992,3008,187,329,35
9/26/06,328,1054,3250,183,287,49
9/27/06,210,863,3253,174,202,80
9/28/06,353,480,2897,56,372,76
9/29/06,283,586,2455,103,222,50
9/30/06,240,402,2665,113,401,56
10/1/06,508,1063,2336,148,176,48
10/2/06,251,937,2455,136,200,64
10/3/06,449,491,2928,191,353,82
10/4/06,357,1062,2758,159,347,34
10/5/06,406,704,3084,182,185,36
10/6/06,410,603,2815,191,186,43
10/7/06,472,858,2079,108,174,80
10/8/06,358,918,2569,73,306,43
10/9/06,310,574,2517,72,484,46
10/10/06,373,775,2370,96,503,43
10/11/06,201,931,2814,41,358,35
10/12/06,241,1023,3039,61,453,81
10/13/06,190,944,1996,97,427,80
10/14/06,289,355,2269,60,320,26
10/15/06,215,937,1293,117,381,72
10/16/06,403,653,2331,147,297,54
10/17/06,170,867,2246,41,357,73
10/18/06,482,481,2810,152,352,48
10/19/06,218,380,2787,179,225,50
10/20/06,438,460,3096,123,398,74
10/21/06,276,769,2074,95,487,40
10/22/06,167,847,1801,118,329,60
10/23/06,398,938,2393,127,220,76
10/24/06,280,1001,2598,146,501,70
10/25/06,205,434,2167,77,374,68
10/26/06,196,671,2558,138,481,70
10/27/06,175,1059,2285,191,360,51
10/28/06,402,515,2005,114,429,33
10/29/06,499,956,2263,150,466,81
10/30/06,243,862,2776,75,358,49
10/31/06,409,1073,1623,64,186,66
11/1/06,423,562,1854,59,509,82
11/2/06,456,523,2847,159,411,30
11/3/06,290,518,1509,123,194,82
11/4/06,249,795,1841,115,387,51
11/5/06,251,440,3037,155,202,45
11/6/06,412,994,2589,91,312,31
11/7/06,428,721,1412,93,463,70
11/8/06,460,739,1731,69,270,33
11/9/06,509,1035,2732,50,430,48
11/10/06,453,622,1865,158,461,51
11/11/06,515,1028,2104,142,178,36
11/12/06,301,516,2863,179,470,75
11/13/06,280,794,1404,173,182,42
11/14/06,379,721,2843,111,215,82
11/15/06,507,438,3112,122,387,65
11/16/06,359,777,2135,158,297,29
11/17/06,194,988,2452,99,427,60
11/18/06,361,765,2504,82,438,51
11/19/06,276,563,2289,60,489,45
11/20/06,396,721,2597,38,468,72
11/21/06,291,673,1919,167,478,27
11/22/06,194,835,2323,47,350,27
11/23/06,393,440,3086,54,451,50
11/24/06,434,820,2361,77,409,33
11/25/06,509,717,2353,172,293,63
11/26/06,385,738,2597,72,242,59
11/27/06,214,1073,3070,75,391,65
11/28/06,191,421,2050,191,282,63
11/29/06,447,960,1699,111,307,47
11/30/06,371,740,2624,81,213,26
12/1/06,183,465,2142,143,492,50
12/2/06,220,477,3227,57,468,31
12/3/06,503,820,2140,114,174,59
12/4/06,351,723,2969,137,286,34
12/5/06,429,995,2834,96,413,32
12/6/06,217,589,2554,174,437,33
12/7/06,191,941,1350,177,440,57
12/8/06,495,1003,2715,65,385,59
12/9/06,226,391,2592,95,424,32
12/10/06,354,894,1311,152,392,51
12/11/06,187,447,1483,88,195,69
12/12/06,425,630,2947,177,469,78
12/13/06,490,1022,1947,164,343,56
12/14/06,275,628,2317,60,202,51
12/15/06,296,537,1282,140,263,37
12/16/06,321,978,2052,157,385,76
12/17/06,322,941,1678,158,421,51
12/18/06,432,422,2573,157,416,66
12/19/06,210,858,1383,57,421,32
12/20/06,232,704,2007,39,507,74
12/21/06,415,662,2819,78,169,46
12/22/06,248,814,2209,41,485,26
12/23/06,183,814,1522,44,263,36
12/24/06,505,922,2117,134,404,34
12/25/06,403,643,3005,166,464,55
12/26/06,288,928,3089,144,402,32
12/27/06,213,420,2617,134,274,41
12/28/06,383,519,2777,146,426,61
12/29/06,332,1014,1706,167,201,44
12/30/06,362,868,1626,38,190,80
12/31/06,499,524,1453,144,183,75
1/1/07,174,444,3225,146,362,37
1/2/07,463,1016,1720,171,466,51
1/3/07,199,918,2306,189,374,76
1/4/07,214,937,3138,179,274,76
1/5/07,446,746,1615,143,200,40
1/6/07,209,1011,3168,42,454,46
1/7/07,429,367,1867,51,469,81
1/8/07,467,699,1529,98,313,66
1/9/07,263,1009,1344,175,253,61
1/10/07,475,410,2775,47,265,81
1/11/07,175,603,2251,181,349,80
1/12/07,447,788,1929,81,253,56
1/13/07,473,355,1629,105,259,78
1/14/07,405,421,1470,167,363,59
1/15/07,297,526,1638,44,389,59
1/16/07,179,423,1686,121,481,32
1/17/07,409,460,1971,126,243,80
1/18/07,342,954,3271,76,414,57
1/19/07,496,435,2862,76,384,37
1/20/07,449,481,1544,143,178,75
1/21/07,483,854,1962,123,425,68
1/22/07,251,696,2103,86,375,37
1/23/07,246,603,2954,169,505,41
1/24/07,193,955,3056,87,403,58
1/25/07,482,711,1705,62,413,53
1/26/07,438,808,2512,178,409,45
1/27/07,168,727,3247,155,307,39
1/28/07,202,701,1894,67,389,79
1/29/07,300,962,2839,51,220,33
1/30/07,493,667,1946,180,329,33
1/31/07,486,554,1263,82,493,66
2/1/07,424,429,2612,140,469,65
2/2/07,192,561,2588,159,446,54
2/3/07,224,362,3082,76,493,36
2/4/07,427,833,3138,171,214,75
2/5/07,488,544,1777,188,486,51
2/6/07,510,955,3171,58,325,27
2/7/07,161,489,2137,99,448,26
2/8/07,353,438,2809,123,234,30
2/9/07,198,699,3262,166,384,43
2/10/07,437,499,3274,128,472,66
2/11/07,304,542,2537,154,401,51
2/12/07,290,1025,3034,79,397,50
2/13/07,372,374,2806,113,221,82
2/14/07,314,423,2723,131,475,59
2/15/07,177,364,1871,144,242,61
2/16/07,421,946,3109,190,237,49
2/17/07,424,689,2739,88,353,35
2/18/07,289,541,1561,132,181,68
2/19/07,175,1035,3010,141,289,30
2/20/07,499,506,1816,170,174,46
2/21/07,194,372,2884,64,261,75
2/22/07,503,702,2252,99,276,61
2/23/07,408,886,2851,134,432,73
2/24/07,186,729,2192,52,368,59
2/25/07,450,924,1513,56,481,61
2/26/07,485,643,2109,129,402,71
2/27/07,246,673,3239,110,424,40
2/28/07,183,608,2375,84,279,26
3/1/07,241,470,2584,67,355,68
3/2/07,399,675,2929,148,218,78
3/3/07,202,544,1618,131,274,82
3/4/07,464,535,2080,159,247,64
3/5/07,289,1057,2337,46,247,41
3/6/07,495,819,2135,173,278,74
3/7/07,312,474,2689,176,324,35
3/8/07,270,892,2295,94,240,36
3/9/07,257,925,2885,41,349,54
3/10/07,261,821,2597,76,373,65
3/11/07,464,399,1341,48,446,78
3/12/07,425,924,1519,130,232,29
3/13/07,198,746,1322,163,257,34
3/14/07,351,868,3183,176,481,31
3/15/07,287,1012,2015,38,233,28
3/16/07,266,1028,2551,52,295,50
3/17/07,338,720,2917,169,251,27
3/18/07,258,638,1583,128,170,61
3/19/07,162,639,2924,94,442,81
3/20/07,397,943,1270,99,425,81
3/21/07,455,854,2440,128,228,32
3/22/07,305,475,2235,186,434,36
3/23/07,319,502,1623,80,431,72
3/24/07,473,456,3276,123,487,42
3/25/07,237,895,1589,59,211,41
3/26/07,474,816,1348,140,400,63
3/27/07,319,992,3106,61,326,60
3/28/07,214,423,1379,165,256,32
3/29/07,321,750,2819,101,420,58
3/30/07,265,750,1547,166,219,48
3/31/07,183,1024,2944,156,478,35
4/1/07,446,546,1844,70,397,82
4/2/07,223,523,2162,110,362,38
4/3/07,219,744,2525,54,482,62
4/4/07,441,585,1870,65,301,43
4/5/07,429,802,1846,121,187,48
4/6/07,196,573,3264,109,214,73
4/7/07,357,974,1504,94,263,61
4/8/07,235,819,1736,68,507,64
4/9/07,253,502,3143,161,201,77
4/10/07,359,706,2450,61,428,53
4/11/07,386,387,1927,175,290,40
4/12/07,492,536,1455,79,255,49
4/13/07,449,905,1255,66,245,47
4/14/07,195,527,1938,182,357,51
4/15/07,437,568,2918,168,420,60
4/16/07,304,757,2409,48,373,51
4/17/07,186,987,3215,186,251,53
4/18/07,465,485,1341,159,402,45
4/19/07,339,878,3183,148,230,27
4/20/07,330,880,2579,155,313,31
4/21/07,384,478,2812,90,287,43
4/22/07,481,764,1449,47,410,32
4/23/07,309,471,1710,130,332,41
4/24/07,209,971,2786,138,400,52
4/25/07,172,359,3041,93,415,65
4/26/07,386,714,2422,151,443,82
4/27/07,431,948,1595,190,385,73
4/28/07,321,798,1398,106,493,37
4/29/07,438,450,3042,40,267,27
4/30/07,343,534,1653,187,260,32
5/1/07,181,1011,2371,74,308,59
5/2/07,475,482,2313,71,367,73
5/3/07,377,708,1372,128,215,26
5/4/07,208,1066,2735,98,357,52
5/5/07,186,1046,2487,81,396,78
5/6/07,395,453,2477,114,265,51
5/7/07,224,1017,3124,76,375,49
5/8/07,372,446,2414,116,296,51
5/9/07,170,462,1616,181,276,77
5/10/07,494,368,2179,93,199,67
5/11/07,323,730,1366,145,197,46
5/12/07,412,752,2707,40,356,61
5/13/07,230,845,2682,47,270,70
5/14/07,426,1012,2123,103,259,53
5/15/07,172,517,1310,122,366,61
5/16/07,258,808,2787,181,425,68
5/17/07,311,563,3027,39,322,41
5/18/07,441,444,3101,73,301,67
5/19/07,282,610,1512,97,505,26
5/20/07,389,1049,2629,79,367,45
5/21/07,383,635,2169,163,201,53
5/22/07,370,638,1396,50,206,62
5/23/07,318,913,1702,62,420,52
5/24/07,460,544,2078,60,408,39
5/25/07,506,430,2303,77,180,37
5/26/07,338,458,1893,169,247,59
5/27/07,458,694,1394,104,189,55
5/28/07,454,648,1888,60,378,25
5/29/07,394,991,3079,56,503,64
5/30/07,355,976,3012,56,208,41
5/31/07,251,907,3142,158,251,70
6/1/07,358,555,1377,83,450,62
6/2/07,163,731,2002,164,494,49
6/3/07,266,835,1338,156,226,74
6/4/07,388,885,2798,183,459,40
6/5/07,247,657,1978,166,488,74
6/6/07,470,359,2745,110,432,68
6/7/07,216,606,2616,54,242,74
6/8/07,421,745,1257,66,481,65
6/9/07,217,1038,2142,175,462,58
6/10/07,376,932,2423,45,177,72
6/11/07,356,384,2160,116,459,58
6/12/07,400,860,2299,97,169,55
6/13/07,485,423,1394,62,446,46
6/14/07,215,669,3165,173,381,82
6/15/07,172,798,1871,171,461,60
6/16/07,397,355,2049,68,231,74
6/17/07,386,538,3187,75,456,63
6/18/07,417,601,2582,91,500,79
6/19/07,289,376,1531,62,370,74
6/20/07,504,539,2238,100,216,26
6/21/07,253,541,2493,173,199,63
6/22/07,418,978,2322,95,176,38
6/23/07,328,593,1427,153,406,82
6/24/07,432,771,2162,71,326,52
6/25/07,184,399,2695,162,303,33
6/26/07,217,415,2425,136,476,74
6/27/07,196,421,1837,135,387,39
6/28/07,348,434,1380,112,274,38
6/29/07,339,801,2236,173,493,38
6/30/07,321,436,1778,89,344,50
7/1/07,505,996,2241,84,320,53
7/2/07,442,542,1859,115,387,81
7/3/07,221,621,1414,46,344,72
7/4/07,483,582,1831,55,436,38
7/5/07,398,544,1754,37,445,56
7/6/07,464,781,2611,47,204,35
7/7/07,216,981,2599,46,510,76
7/8/07,200,872,2342,187,445,70
7/9/07,492,605,3080,90,486,33
7/10/07,413,681,2296,142,189,74
7/11/07,424,752,1836,85,185,31
7/12/07,175,535,1644,188,365,59
7/13/07,369,447,3117,105,248,25
7/14/07,382,799,2355,158,411,73
7/15/07,371,993,2464,104,264,53
7/16/07,212,527,1596,174,296,78
7/17/07,476,922,1609,97,191,47
7/18/07,283,1039,2769,105,361,49
7/19/07,164,459,1962,190,370,68
7/20/07,246,933,2928,109,297,67
7/21/07,244,973,1558,123,429,82
7/22/07,485,1045,1545,134,181,25
7/23/07,409,626,2287,78,307,65
7/24/07,455,795,1695,114,209,72
7/25/07,166,983,1367,69,187,42
7/26/07,338,428,2308,169,189,55
7/27/07,224,998,1551,128,406,74
7/28/07,290,569,1422,123,464,82
7/29/07,509,463,2491,156,304,29
7/30/07,356,946,1412,171,268,53
7/31/07,169,399,1622,45,488,72
8/1/07,216,1002,2757,76,186,73
8/2/07,479,757,2672,73,306,55
8/3/07,367,719,2776,171,338,63
8/4/07,346,1029,1520,86,198,63
8/5/07,211,445,2862,191,405,49
8/6/07,500,462,2110,102,433,38
8/7/07,414,385,2687,128,430,73
8/8/07,461,364,2291,156,351,71
8/9/07,238,967,1620,91,267,54
8/10/07,311,797,3290,138,269,25
8/11/07,295,1021,3139,167,366,79
8/12/07,300,898,1720,113,229,57
8/13/07,492,1066,2268,37,443,71
8/14/07,429,401,3041,114,425,60
8/15/07,370,675,2880,70,362,52
8/16/07,333,674,2481,177,495,36
8/17/07,278,937,2319,146,197,65
8/18/07,375,370,2943,179,357,64
8/19/07,420,529,3221,88,271,25
8/20/07,360,391,2031,138,311,54
8/21/07,290,618,2413,158,498,26
8/22/07,322,822,3127,187,394,46
8/23/07,247,1012,1711,49,383,82
8/24/07,197,660,1946,129,354,67
8/25/07,278,1031,3234,154,359,44
8/26/07,303,1045,1369,120,303,75
8/27/07,262,1015,2071,153,479,55
8/28/07,292,373,2815,60,261,41
8/29/07,243,778,2287,81,260,50
8/30/07,446,1045,2571,120,216,32
8/31/07,487,531,2533,93,289,45
9/1/07,512,884,2952,89,331,42
9/2/07,281,1047,2415,175,457,29
9/3/07,493,921,2844,87,455,64
9/4/07,470,1016,2981,115,466,34
9/5/07,300,885,2145,52,184,60
9/6/07,500,693,2557,124,327,70
9/7/07,367,534,1634,178,189,38
9/8/07,423,384,1934,72,496,49
9/9/07,414,699,3113,177,253,36
9/10/07,359,640,1353,111,392,41
9/11/07,452,412,2585,51,415,27
9/12/07,386,757,3005,46,475,74
9/13/07,345,528,2053,150,486,33
9/14/07,209,607,1813,68,329,62
9/15/07,317,995,2272,191,466,63
9/16/07,291,732,3242,178,481,59
9/17/07,455,961,2746,181,304,51
9/18/07,181,619,1470,123,389,35
9/19/07,445,1051,1442,189,240,58
9/20/07,375,693,3065,97,276,43
9/21/07,441,377,2063,40,393,30
9/22/07,268,579,2093,100,281,72
9/23/07,454,597,2380,75,430,51
9/24/07,319,950,2475,64,436,71
9/25/07,346,799,1575,188,201,70
9/26/07,366,750,2085,43,245,67
9/27/07,320,672,1802,94,421,49
9/28/07,294,960,3086,163,304,29
9/29/07,269,750,2693,172,389,60
9/30/07,291,842,1650,179,170,40
10/1/07,387,865,1531,130,497,35
10/2/07,427,458,1528,105,187,47
10/3/07,434,777,1733,123,448,54
10/4/07,293,423,1900,172,271,44
10/5/07,229,948,2745,148,425,81
10/6/07,243,571,1647,134,385,56
10/7/07,444,622,1840,162,412,56
10/8/07,232,689,1629,156,203,49
10/9/07,484,655,2887,136,477,69
10/10/07,167,541,1692,145,172,71
10/11/07,506,858,2251,100,226,68
10/12/07,217,943,3184,43,258,32
10/13/07,196,569,3067,80,396,49
10/14/07,286,764,1766,106,381,63
10/15/07,267,538,3244,107,398,63
10/16/07,448,838,2512,181,234,64
10/17/07,367,840,1803,108,349,77
10/18/07,305,450,2002,119,290,42
10/19/07,394,1002,1568,72,434,30
10/20/07,489,796,2933,143,487,67
10/21/07,351,1074,2899,74,274,65
10/22/07,241,640,2096,40,292,43
10/23/07,202,746,1618,164,293,25
10/24/07,381,546,2689,62,253,80
10/25/07,309,544,2903,37,497,78
10/26/07,356,462,2231,46,298,35
10/27/07,463,651,2361,108,428,58
10/28/07,283,896,1979,160,455,47
10/29/07,210,435,2977,123,485,65
10/30/07,212,821,2508,156,254,64
10/31/07,324,510,2602,52,488,72
11/1/07,227,369,2182,143,304,40
11/2/07,452,639,2005,99,280,33
11/3/07,445,463,2941,53,467,80
11/4/07,470,456,1936,101,314,57
11/5/07,251,657,2701,159,215,26
11/6/07,301,715,1427,102,247,30
11/7/07,490,987,2813,133,187,44
11/8/07,259,1026,1830,178,289,47
11/9/07,177,483,2266,162,228,65
11/10/07,263,374,1296,164,429,81
11/11/07,476,933,2992,116,449,28
11/12/07,271,502,2959,188,505,63
11/13/07,334,833,1411,112,488,59
11/14/07,386,905,2933,150,456,41
11/15/07,261,829,3013,51,190,49
11/16/07,339,1015,2011,51,361,38
11/17/07,351,1005,1957,158,397,60
11/18/07,489,574,3281,191,426,51
11/19/07,409,517,2780,151,481,66
11/20/07,354,735,2242,178,358,57
11/21/07,233,609,2564,119,171,81
11/22/07,224,511,3108,63,204,73
11/23/07,342,1048,2317,82,482,74
11/24/07,419,914,1461,46,486,71
11/25/07,168,891,2599,65,471,40
11/26/07,235,1037,2395,42,264,35
11/27/07,334,970,2609,108,458,68
11/28/07,402,704,3166,136,197,36
11/29/07,395,647,1758,39,308,30
11/30/07,336,974,3245,189,477,57
12/1/07,472,980,1260,103,314,33
12/2/07,357,875,1983,150,440,53
12/3/07,513,978,2934,116,476,25
12/4/07,251,887,1329,154,278,64
12/5/07,315,886,1736,165,293,25
12/6/07,256,846,2103,168,259,77
12/7/07,182,795,3192,156,228,66
12/8/07,372,959,2267,105,444,73
12/9/07,175,533,3192,47,317,44
12/10/07,211,1009,3121,110,502,56
12/11/07,483,895,1326,87,484,39
12/12/07,328,651,2348,101,172,45
12/13/07,204,663,1448,172,278,74
12/14/07,288,788,1334,77,264,38
12/15/07,206,941,1383,172,195,29
12/16/07,326,669,2738,94,364,28
12/17/07,417,759,2301,133,262,32
12/18/07,250,765,1561,87,291,61
12/19/07,178,799,1684,170,260,33
12/20/07,329,1039,1714,147,460,44
12/21/07,319,487,2870,132,470,82
12/22/07,446,391,1664,183,225,75
12/23/07,448,739,1759,155,200,25
12/24/07,448,831,2521,114,289,54
12/25/07,375,805,1827,144,238,79
12/26/07,348,834,1819,175,366,58
12/27/07,509,806,2599,158,423,31
12/28/07,457,867,1808,182,252,32
